# mapped_total=30000
# downloaded_present=27577
# mapped_missing=2423
# Format: video,part_name,zip_name
--TluUacoB4_74_70to330.mp4,part62,OpenVidHD_part_62.zip
-1e4euMFgyY_68_81to288.mp4,part55,OpenVidHD_part_55.zip
-3kEBPikrbc_104_0to189.mp4,part55,OpenVidHD_part_55.zip
-4HVBx1TmGE_11_29to194.mp4,part15,OpenVidHD_part_15.zip
-6W3Kv6mMzc_20_0to184.mp4,part59,OpenVidHD_part_59.zip
-6gzD513ld8_0_0to207.mp4,part15,OpenVidHD_part_15.zip
-7vmm-UIFI8_4_0to109.mp4,part59,OpenVidHD_part_59.zip
-CQ0Xjhgzjs_38_0to136.mp4,part15,OpenVidHD_part_15.zip
-FfwYtLnb6s_27_0to289.mp4,part58,OpenVidHD_part_58.zip
-GmnNkVbF_4_45_0to226.mp4,part51,OpenVidHD_part_51.zip
-HkRkCXPjzw_56_0to177.mp4,part51,OpenVidHD_part_51.zip
-J1zgHmafuM_31_80to285.mp4,part51,OpenVidHD_part_51.zip
-OeJeJ-6kcM_315_144to405.mp4,part15,OpenVidHD_part_15.zip
-RwSEyzmbqE_14_0to361.mp4,part64,OpenVidHD_part_64.zip
-RwSEyzmbqE_14_376to747.mp4,part59,OpenVidHD_part_59.zip
-Sia05obiPg_2_42to314.mp4,part15,OpenVidHD_part_15.zip
-XM5WJeNxfo_21_0to184.mp4,part81,OpenVidHD_part_81.zip
-XTb6NOywO0_26_0to258.mp4,part77,OpenVidHD_part_77.zip
-Z8p01M1z0M_2_0to158.mp4,part63,OpenVidHD_part_63.zip
-Z8p01M1z0M_7_0to271.mp4,part55,OpenVidHD_part_55.zip
-ZK9JOHlEw4_0_0to304.mp4,part56,OpenVidHD_part_56.zip
-ZPo54LuPzU_1_0to163.mp4,part15,OpenVidHD_part_15.zip
-_y8JLHoMpg_39_0to227.mp4,part65,OpenVidHD_part_65.zip
-aQvpREHZdg_20_0to125.mp4,part15,OpenVidHD_part_15.zip
-cg7T1bM7ts_5_0to263.mp4,part62,OpenVidHD_part_62.zip
-iDw1jlgyVU_5_73to251.mp4,part54,OpenVidHD_part_54.zip
-iIIpqbeSds_29_0to136.mp4,part15,OpenVidHD_part_15.zip
-jzG2Z2k9ng_84_0to197.mp4,part51,OpenVidHD_part_51.zip
-lYPgUpTYF8_140_0to289.mp4,part74,OpenVidHD_part_74.zip
-n0lKyrSJB4_229_0to336.mp4,part60,OpenVidHD_part_60.zip
-nMKSzcnWL4_49_0to281.mp4,part61,OpenVidHD_part_61.zip
-o3KQBYdEdo_13_16to388.mp4,part61,OpenVidHD_part_61.zip
-op7j9m__D0_44_0to351.mp4,part71,OpenVidHD_part_71.zip
-p3DwxzOhvI_31_0to168.mp4,part51,OpenVidHD_part_51.zip
-poyTXmFoeo_11_0to339.mp4,part78,OpenVidHD_part_78.zip
-qybl8eStNI_42_57to269.mp4,part57,OpenVidHD_part_57.zip
-rxcGzlO3sI_26_168to313.mp4,part15,OpenVidHD_part_15.zip
-sOmBXAkHn4_85_0to190.mp4,part15,OpenVidHD_part_15.zip
-ugHXsi-Gm4_28_0to282.mp4,part15,OpenVidHD_part_15.zip
-wopOa-H6Zo_48_50to197.mp4,part15,OpenVidHD_part_15.zip
-wrEgihuCzc_0_0to311.mp4,part69,OpenVidHD_part_69.zip
-wrEgihuCzc_4_0to205.mp4,part60,OpenVidHD_part_60.zip
-zrJwYFJtZo_16_0to215.mp4,part56,OpenVidHD_part_56.zip
0-SJv3EdIJc_64_0to153.mp4,part56,OpenVidHD_part_56.zip
0BCC03hJyis_31_0to286.mp4,part58,OpenVidHD_part_58.zip
0GZSfBuhf6Y_163_0to215.mp4,part63,OpenVidHD_part_63.zip
0GfxgGkREXE_51_55to335.mp4,part57,OpenVidHD_part_57.zip
0JVkfgntBkU_25_0to208.mp4,part51,OpenVidHD_part_51.zip
0JkIIT_Mlb8_26_0to340.mp4,part65,OpenVidHD_part_65.zip
0LL5um5FNMQ_4_0to215.mp4,part58,OpenVidHD_part_58.zip
0MkNPD9KKzY_70_147to336.mp4,part51,OpenVidHD_part_51.zip
0QotszIgZso_33_0to332.mp4,part67,OpenVidHD_part_67.zip
0XWOFP_E-rk_70_0to223.mp4,part62,OpenVidHD_part_62.zip
0XWOFP_E-rk_72_0to351.mp4,part75,OpenVidHD_part_75.zip
0XoT1z-gAQw_76_236to358.mp4,part15,OpenVidHD_part_15.zip
0XoT1z-gAQw_8_82to201.mp4,part15,OpenVidHD_part_15.zip
0b8xA0AqKzk_16_28to346.mp4,part67,OpenVidHD_part_67.zip
0cmdlE97F3I_26_0to285.mp4,part62,OpenVidHD_part_62.zip
0ddOgfsXvXM_0_92to394.mp4,part77,OpenVidHD_part_77.zip
0fcCkxAVHhg_23_0to265.mp4,part54,OpenVidHD_part_54.zip
0jQ_vErjDlk_13_0to106.mp4,part15,OpenVidHD_part_15.zip
0spVdqwKSkY_0_0to126.mp4,part15,OpenVidHD_part_15.zip
0vBoukvi6y0_10_73to278.mp4,part15,OpenVidHD_part_15.zip
0yJbsGoedyM_5_0to177.mp4,part15,OpenVidHD_part_15.zip
0zLomajgD0w_5_64to376.mp4,part55,OpenVidHD_part_55.zip
13icmBMfVN4_5_0to122.mp4,part15,OpenVidHD_part_15.zip
14-sl58nrqI_11_0to194.mp4,part57,OpenVidHD_part_57.zip
164X3WMPAoc_15_107to476.mp4,part76,OpenVidHD_part_76.zip
17AilpIrqKI_71_0to253.mp4,part78,OpenVidHD_part_78.zip
19zuv7YQVec_31_0to191.mp4,part66,OpenVidHD_part_66.zip
1DsIjiMQ2Fo_21_0to138.mp4,part57,OpenVidHD_part_57.zip
1GMBomRlHpM_10_0to182.mp4,part62,OpenVidHD_part_62.zip
1Q7KntrXGdU_48_0to108.mp4,part15,OpenVidHD_part_15.zip
1Q7KntrXGdU_5_0to200.mp4,part66,OpenVidHD_part_66.zip
1Q7KntrXGdU_61_0to168.mp4,part57,OpenVidHD_part_57.zip
1Re4XDDOa78_9_0to136.mp4,part15,OpenVidHD_part_15.zip
1YdlKXOFd1M_17_0to178.mp4,part63,OpenVidHD_part_63.zip
1ZX3E7QkLH4_33_0to189.mp4,part56,OpenVidHD_part_56.zip
